customer_id,customer_num,age,gender,membership_tier_encoded,education_level_encoded,satisfaction_level_encoded,income,income_log,income_bin,total_purchases,purchase_per_day,frequent_buyer,price,price_boxcox,loyalty_points,days_since_signup,days_since_last_purchase,purchased,region_East,region_North,region_South,region_West,category_Clothing,category_Electronics,category_Furniture,category_Grocery,category_Other
CUST-0001,1,42.0,Male,1,0.0,0.0,47536.17,10.769267210324436,1,6.0,0.00314,1,264.3,1.1086088393706646,1591.0,1911,490,1,False,False,True,False,False,False,False,False,True
CUST-0002,2,33.0,Male,2,1.0,1.0,77221.25,11.254442906922876,3,5.0,0.00411,1,119.92,-0.23057871353895149,4425.0,1217,28,1,False,True,False,False,False,True,False,False,False
CUST-0004,4,53.0,Male,2,2.0,1.0,54174.65,10.899986824486712,2,3.0,0.00223,0,44.94,-1.4240693965474025,4298.0,1343,425,0,False,False,True,False,True,False,False,False,False
CUST-0005,5,52.0,Female,2,1.0,1.0,81447.74,11.307729144297276,3,3.0,0.01442,0,206.89,0.6502122811452071,1213.0,208,-2,0,True,False,False,False,False,False,False,False,True
CUST-0006,6,28.0,Male,0,1.0,2.0,75707.37,11.23464400134505,2,4.0,0.01294,0,150.19,0.11114045070097057,2023.0,309,320,1,False,False,True,False,False,True,False,False,False
CUST-0008,8,64.0,Female,0,2.0,2.0,35651.97,10.481587732330285,0,5.0,0.00243,1,206.89,0.6502122811452071,177.0,2055,565,1,False,True,False,False,False,False,False,False,True
CUST-0009,9,62.0,Male,0,3.0,2.0,106450.72,11.575446828011662,3,1.0,0.00146,0,29.54,-1.8140604695749496,1919.0,687,436,1,False,True,False,False,False,True,False,False,False
CUST-0010,10,59.0,Female,0,2.0,2.0,36971.51,10.517929942512184,0,6.0,0.00359,1,206.89,0.6502122811452071,2951.0,1669,357,1,False,False,True,False,False,False,False,False,True
CUST-0011,11,64.0,Female,2,2.0,1.0,30757.21,10.333912229468597,0,8.0,0.20513,1,150.71,0.1166172313806438,1515.0,39,-9,0,False,False,False,True,True,False,False,False,False
CUST-0012,12,54.0,Other,0,3.0,1.0,33429.9,10.417235900978168,0,6.0,0.2069,1,204.17,0.6266250911835551,1104.0,29,237,1,False,True,False,False,False,False,True,False,False
CUST-0013,13,56.0,Female,1,3.0,1.0,31547.67,10.359286711771766,0,3.0,0.00276,0,60.52,-1.107540342476158,692.0,1085,519,1,False,True,False,False,False,False,False,False,True
CUST-0014,14,42.0,Female,1,2.0,2.0,39592.01,10.586407866510424,0,4.0,0.00268,0,150.71,0.1166172313806438,633.0,1491,312,1,False,False,True,False,True,False,False,False,False
CUST-0015,15,38.0,Male,0,1.0,2.0,110719.86,11.614767538162372,3,3.0,0.00212,0,138.6,-0.014127246310786693,4210.0,1413,133,1,False,False,True,False,False,True,False,False,False
CUST-0016,16,30.0,Female,2,2.0,2.0,44964.57,10.713652364794456,1,7.0,0.00866,1,119.92,-0.23057871353895149,2807.0,808,515,0,True,False,False,False,False,True,False,False,False
CUST-0017,17,59.0,Male,0,2.0,2.0,52641.42,10.871277537586867,1,3.0,0.00173,0,104.51,-0.42556984306638385,3554.0,1738,277,1,False,False,True,False,False,False,False,True,False
CUST-0018,18,23.0,Female,0,2.0,1.0,86009.99,11.362230357768784,3,6.0,0.00313,1,217.71,0.7421744274485946,2379.0,1917,7,1,False,False,False,True,True,False,False,False,False
CUST-0019,19,56.0,Male,0,2.0,2.0,55898.69,10.93131411351064,2,3.0,0.00147,0,43.14,-1.464832726945993,1528.0,2034,175,1,True,False,False,False,True,False,False,False,False
CUST-0020,20,55.0,Male,1,2.0,0.0,146724.39,11.89631802345674,3,4.0,0.00504,0,21.27,-2.0790963663289834,3168.0,793,116,0,False,False,False,True,False,False,True,False,False
CUST-0021,21,36.0,Female,0,1.0,1.0,41237.54,10.627128534982388,1,4.0,0.01198,0,53.54,-1.2421732626578335,1811.0,334,37,0,False,False,False,True,True,False,False,False,False
CUST-0022,22,24.0,Female,1,1.0,1.0,33723.04,10.425966215140784,0,4.0,0.00295,0,266.85,1.127457866592304,1606.0,1356,29,1,False,True,False,False,False,False,False,True,False
